Tanggal,CPO_USD
2010-05-01,726.6667
2010-06-01,733.3977
2010-07-01,747.8095
2010-08-01,823.4659
2010-09-01,856.619
2010-10-01,935.131
2010-11-01,1043.6429
2010-12-01,1164.4659
2011-01-01,1218.7875
2011-02-01,1247.3026
2011-03-01,1131.8261
2011-04-01,1109.1375
2011-05-01,1097.7619
2011-06-01,1065.0909
2011-07-01,1032.15
2011-08-01,1013.5974
2011-09-01,977.0357
2011-10-01,913.25
2011-11-01,979.5119
2011-12-01,967.9881
2012-01-01,1018.475
2012-02-01,1035.1591
2012-03-01,1099.3864
2012-04-01,1149.4625
2012-05-01,1037.9545
2012-06-01,938.3333
2012-07-01,971.1786
2012-08-01,932.8804
2012-09-01,923.8289
2012-10-01,810.5714
2012-11-01,785.1905
2012-12-01,763.3
2013-01-01,803.1786
2013-02-01,810.4868
2013-03-01,782.4875
2013-04-01,764.0682
2013-05-01,769.9659
2013-06-01,770.0
2013-07-01,717.3295
2013-08-01,706.4205
2013-09-01,721.475
2013-10-01,757.8696
2013-11-01,810.7625
2013-12-01,806.9881
2014-01-01,774.6071
2014-02-01,806.5789
2014-03-01,845.0357
2014-04-01,809.75
2014-05-01,788.8333
2014-06-01,755.2619
2014-07-01,730.2727
2014-08-01,666.9405
2014-09-01,651.0119
2014-10-01,667.5652
2014-11-01,670.25
2014-12-01,627.0341
2015-01-01,635.075
2015-02-01,631.1447
2015-03-01,606.8409
2015-04-01,590.9524
2015-05-01,603.5
2015-06-01,610.0341
2015-07-01,575.0227
2015-08-01,493.9524
2015-09-01,504.3214
2015-10-01,545.7045
2015-11-01,538.6875
2015-12-01,555.3125
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,566.7969
2016-08-01,613.8478
2016-09-01,638.7024
2016-10-01,634.95
2016-11-01,663.1125
2016-12-01,700.0833
2017-01-01,697.7625
2017-02-01,679.6316
2017-03-01,633.663
2017-04-01,588.7763
2017-05-01,600.2045
2017-06-01,579.0114
2017-07-01,595.5
2017-08-01,618.3913
2017-09-01,661.125
2017-10-01,644.2273
2017-11-01,656.8333
2017-12-01,616.175
2018-01-01,641.3452
2018-02-01,638.5921
2018-03-01,625.2857
2018-04-01,628.5595
2018-05-01,606.25
2018-06-01,590.7024
2018-07-01,553.2143
2018-08-01,543.587
2018-09-01,540.8816
2018-10-01,529.8587
2018-11-01,492.6667
2018-12-01,492.1711
2019-01-01,530.7738
2019-02-01,557.9605
2019-03-01,522.9167
2019-04-01,529.9167
2019-05-01,488.3295
2019-06-01,484.525
2019-07-01,476.125
2019-08-01,514.1932
2019-09-01,525.925
2019-10-01,525.9891
2019-11-01,620.2
2019-12-01,684.7381
2020-01-01,737.6667
2020-02-01,648.7632
2020-03-01,552.8636
2020-04-01,515.881
2020-05-01,472.0625
2020-06-01,551.4545
2020-07-01,576.4545
2020-08-01,644.1905
2020-09-01,688.1548
2020-10-01,688.4205
2020-11-01,774.2
2020-12-01,830.2841
2021-01-01,893.1974
2021-02-01,846.9342
2021-03-01,929.4783
2021-04-01,904.4048
2021-05-01,1011.7875
2021-06-01,914.0
2021-07-01,939.6429
2021-08-01,1009.0795
2021-09-01,1034.3571
2021-10-01,1156.381
2021-11-01,1172.8333
2021-12-01,1091.6477
2022-01-01,1196.5125
2022-02-01,1325.2237
2022-03-01,1513.1522
2022-04-01,1413.5375
2022-05-01,1459.8095
2022-06-01,1339.2262
2022-07-01,912.3875
2022-08-01,911.6739
2022-09-01,835.5714
2022-10-01,810.1548
2022-11-01,903.6786
2022-12-01,899.0714
2023-01-01,916.5625
2023-02-01,913.1447
2023-03-01,905.7826
2023-04-01,855.6184
2023-05-01,786.0682
2023-06-01,743.4762
2023-07-01,850.2625
2023-08-01,835.7826
2023-09-01,818.425
2023-10-01,779.2727
2023-11-01,814.619
2023-12-01,805.1875
2024-01-01,808.119
2024-02-01,805.0875
2024-03-01,868.1875
2024-04-01,883.1705
2024-05-01,816.0227
2024-06-01,836.4605
2024-07-01,846.7159
2024-08-01,844.7614
2024-09-01,901.5125
2024-10-01,999.5326
2024-11-01,1113.5875
2024-12-01,1093.7143
2025-01-01,958.6667
2025-02-01,1004.7105
2025-03-01,998.1667
2025-04-01,943.0357
2025-05-01,899.2976
2025-06-01,930.1625
2025-07-01,980.4205
2025-08-01,1030.1429
2025-09-01,1056.6786
2025-10-01,1061.3696
2025-11-01,992.2895
2025-12-01,992.125
2026-01-01,1002.925
2026-02-01,1052.8684
2026-03-01,1120.9773
2026-04-01,1162.2262
2026-05-01,1151.425
